title;category;description;image_url;price;season;date;duration;tags;address
Penguins at Punta Arena;adventure;Penguins in Magallanes region;photos/exp23.jpg;300;winter;;one day;penguin, punta arena, patagonia;seno otway, chile
Entresijos and gallinejas;food;Madrid famous dish;photos/exp24.jpg;20;year-round;;one day;frying, entresijos, gallinejas;Embajadores 84, madrid
Resting in Turks or...;leisure;Turks and Caicos holidays;photos/exp25.jpg;3000;year-round;;six days;resorts, grace bay, turks and caicos;grace bay, turks and caicos
Street cart roulette;food;Backpacking degustation menu ;photos/exp26.jpg;5;year-round;;one day;khao san road, food, street cart, backpacker;khao san road, bangkok
Chinese Venice;cultural;Suzhou, the venice of the east;photos/exp27.jpg;500;autumn;;three days;suzhou, china, gardens, canals;humble administrators garden, suzhou, china
Surfing sand waves;adventure;Kalbarri sandboarding;photos/exp28.jpg;100;year-round;;one day;kalbarri, sandboarding, australia, surf;kalbarri visitor center, australia
Wild Tasmania;adventure;Tasmanian kayak expedition;photos/exp29.jpg;2200;winter;;one week;tasmania, kayak, wilderness, isolation;bathurst harbour airport, australia
Teaching in Vietnam;volunteering;English teaching experience in south Vietnam;photos/exp30.jpg;1000;year-round;;three weeks;saigon, vietnam, teaching, english;ho chi minh city, vietnam
Punxsutawney again;leisure;Phil the groundhog guessing about winter;photos/exp31.jpg;100;winter;2015-02-02;one day;phil, bill murray, punxsutawney, winter;punxsutawney, pennsylvania
A royal garden;nature;Kew Royal Botanic Gardens;photos/exp32.jpg;50;year-round;;one day;royal botanic gardens, kew, garden, royal family;royal botanic gardens, kew
My first time: London;cultural;A first visit to the England capital;photos/exp33.jpg;1000;summer;;one week;london, first time, tower bridge, london tower;london
Camden markets;leisure;Walking the Camden town markets;photos/exp34.jpg;200;spring;;two days;camden, camden lock, camden market, shopping, london markets;camden market, london
Old Trafford experience;leisure;Manchester United museum;photos/exp35.jpg;35;year-round;;one day;manu, machester united, red devils, football;old trafford, manchester
The Storr and the Old Man of Storr;sport;A spectacular walk to a famous summit, passing through an iconic landscape. Superb views in all directions.;photos/exp36.jpg;50;summer;;one day;old man of storr, scotland, highlands;old man of storr, scotland
The Skye Trail;adventure;The Skye Trail - a challenging unofficial route through the island aimed at experienced hillwalkers - takes in some of the very best of the island - and that means the UK's finest landscapes.;photos/exp37.jpg;350;summer;;one week;skye trail, scotland, highlands, hiking, trekking;skye, scotland
Edinburgh International Festival;cultural;Festival 2015 will run from 7 to 31 August, opening with an incredible free event, The Harmonium Project, in Festival Square and the Virgin Money Fireworks Concert will bring the summer festival season to an explosive conclusion. To find out more about these events and everything in between, browse the art forms or look at the full diary. ;photos/exp38.jpg;1500;summer;2015-08-07;three weeks;edinburgh, arts, theatre, performance, scotland;edinburgh, scotland
You'll never walk alone;event;Enjoy a Liverpool FC match;photos/exp39.jpg;200;spring;;one day;liverpool, reds, anfield, mersey;anfield, liverpool
The Globe;cultural;Oak-and-thatch replica of original Elizabethan theatre, showing Shakespeare plays in the open air.;photos/exp40.jpg;90;year-round;;one day;shakespeare, theatre, the globe;globe theatre, london
Brands Hatch academy;sport;Track academy in Brands Hatch;photos/exp41.jpg;1050;year-round;;one day;brands hatch, track days, academy;brands hatch circuit, united kingdom
ATP World Tour Finals;event;Only the best eight singles players and best eight doubles teams of the season qualify for the prestigious Barclays ATP World Tour Finals, which will be staged at The O2 arena in London for a seventh straight year in 2015. The singles champion will be presented The Brad Drewett Trophy, in memory of the ATP Executive Chairman and President who passed away on 3 May 2013.;photos/exp42.jpg;800;winter;2015-11-15;one week;atp, masters finals, nadal, federer, djokovic;the o2, london
Fifteen;food;Made famous by Jamie Oliver's TV series in 2002, at Fifteen you can expect Jamie's trademark quirky, delicious food in a trendy, celebrity-filled setting. The Mediterranean menu, which is as seasonal and locally-sourced as possible, is complemented by the laid-back vibe. Money from your bill goes towards teaching the restaurant's trainee chefs.;photos/exp43.jpg;60;year-round;;one day;jamie oliver, tv chefs, restaurants;fifteen, london
The english tea room;food;The award-winning afternoon tea at Brown's Hotel includes freshly cut sandwiches, warm scones with clotted cream and strawberry preserve, alongside a delectable choice of teas, and cakes from the trolley. Afternoon tea delights may include passion fruit tennis balls, strawberry tartlets, Pimm’s jelly, and raspberry macarons.;photos/exp44.jpg;50;year-round;;one day;tea, luxury, browns hotel;browns hotel, london
Wimbledon's finals;event;All England club finals;photos/exp45.jpg;3000;summer;2015-07-05;one day;grand slam, tennis, wimbledon;All England Lawn Tennis & Croquet Club, london
Riding Hyde Park;sport;Hop on a steed and trot your way through one of London's most central parks, courtesy of those lovely equestrian types at Hyde Park Stables;photos/exp46.jpg;110;year-round;;one day;hyde park stables, horses, equestrian;63 Bathurst Mews, Paddington, London W2 2SB
The Asmara Suite;leisure;The Ushvani Signature Massage - Think of the best massage you’ve ever had and triple it.;photos/exp47.jpg;1100;year-round;;one day;ushvani, spa, relax, body treatment;1 Cadogan Gardens, Knightsbridge, London SW3 2RJ
50 years of Pennine Way;adventure;The Pennine Way is a National Trail in England, with a small section in Scotland;photos/exp48.jpg;600;spring;;one week;trails, countryfield, hiking;edale, derbyshire
Coast to coast walk;adventure;The Coast To Coast Walk;photos/exp49.jpg;1800;summer;;two weeks;trails, coast to coast walk, wainright, north of england;st bees, cumbria
The baltic route;sport;The Baltic Sea route is a wonderful 800 kilometre long bike ride - it sounds long if you picture yourself and the rest of the family on the bike day in and day out. But it is nothing like that...;photos/exp50.jpg;900;summer;;two weeks;biking, cycling, denmark, baltic route, margueritruten;Odense Central Station, denmark
